selected;finbif_api_var;finbif_api_query;dwc;virva;type;merge_option;description
unit.unitId;unit.unitId;unitId;occurrenceID;Havainnon_tunniste;str;AGGREGATE;Yksittäisen havainnon tunniste
unit.linkings.taxon.scientificName;unit.linkings.taxon.scientificName;target;scientificNameInterpreted;Tieteellinen_nimi;str;FIRST;Lajin tieteellinen nimi
unit.interpretations.individualCount;unit.interpretations.individualCount;individualCountMin;individualCountInterpreted;Yksilomaara_tulkittu;int;SUM;Tulkittu numeerinen yksilömäärä (yhdistetyissä havainnoissa summattu)
gathering.interpretations.coordinateAccuracy;gathering.interpretations.coordinateAccuracy;coordinateAccuracyMax;coordinateUncertaintyInMetersInterpreted;Paikan_tarkkuus_metreina_max;int;MAX;Havainnon koordinaattien tarkkuus metreinä
unit.interpretations.recordQuality;unit.interpretations.recordQuality;recordQuality;occurrenceQuality;Havainnon_luotettavuus;str;FIRST;Luotettavuus perustuen alkuperäislähteen antamaan luotettavuusluokitukseen sekä Laji.fi:n laadunvalvontakommentteihin (virheellinen, epävarma, neutraali, yhteisön varmistama asiantuntijan varmistama)
unit.abundanceString;unit.abundanceString;;verbatimAbundance;Maara;str;AGGREGATE;Kirjaimellisesti ilmoitettu yksilöiden lukumäärä
gathering.interpretations.biogeographicalProvinceDisplayname;gathering.interpretations.biogeographicalProvinceDisplayname;biogeographicalProvinceId;bioStateProvinceInterpreted;Eliomaakunta;str;FIRST;Eliömaakunta koordinaattien perusteella
gathering.eventDate.begin;gathering.eventDate.begin;;eventDateStart;Keruu_aloitus_pvm;datetime;GROUPBY;Keruutapahtuman aloituspäivämäärä
gathering.eventDate.end;gathering.eventDate.end;;eventDateEnd;Keruu_lopetus_pvm;datetime;GROUPBY;Keruutapahtuman lopetuspäivämäärä
gathering.gatheringId;gathering.gatheringId;gatheringId;eventID;Keruutapahtuman_tunniste;str;AGGREGATE;Keruutapahtumalle annettu tunniste
document.collectionId;document.collectionId;collectionId;collectionID;Aineiston_tunniste;str;GROUPBY;Aineiston tunniste
unit.breedingSite;unit.breedingSite;breedingSite;breedingLocationStatus;Pesintapaikka;bool;GROUPBY;Onko havainto pesintäpaikalta
unit.det;unit.det;;identifiedBy;Maarittaja;str;AGGREGATE;Havainnon määrittäjän nimi
unit.lifeStage;unit.lifeStage;lifeStage;lifeStage;Elinvaihe;str;GROUPBY;Havaitun yksilön elinvaihe
