finbif_api_var;translated_var;dwc;virva;type
unit.unitId;record_id;occurrenceID;Havainnon_tunniste;str
unit.linkings.taxon.scientificName;scientific_name_interpreted;scientificNameInterpreted;Tieteellinen_nimi;str
unit.interpretations.individualCount;abundance_interpreted;individualCountInterpreted;Yksilomaara_tulkittu;int
gathering.interpretations.coordinateAccuracy;coordinates_uncertainty_interpreted;coordinateUncertaintyInMetersInterpreted;Paikan_tarkkuus_metreina;int
unit.interpretations.recordQuality;record_quality;occurrenceQuality;Havainnon_luotettavuus;str
unit.abundanceString;abundance_verbatim;verbatimAbundance;Maara;str
gathering.interpretations.biogeographicalProvinceDisplayname;bio_province_interpreted;bioStateProvinceInterpreted;Eliomaakunta;str
gathering.eventDate.begin;date_start;eventDateStart;Keruu_aloitus_pvm;str
gathering.eventDate.end;date_end;eventDateEnd;Keruu_lopetus_pvm;str
gathering.gatheringId;event_id;eventID;Keruutapahtuman_tunniste;str
document.collectionId;collection_id;collectionID;Aineiston_tunniste;str
unit.breedingSite;is_breeding_location;breedingLocationStatus;Pesintapaikka;bool
unit.det;determiner;identifiedBy;Maarittaja;str
unit.lifeStage;life_stage;lifeStage;Elinvaihe;str
unit.linkings.taxon.id;taxon_id;taxonID;Taksonin_tunniste;str
unit.notes;record_notes;occurrenceRemarks;Havainnon_lisatiedot;str
unit.recordBasis;record_basis;basisOfRecord;Havaintotapa;str
unit.sex;sex;sex;Sukupuoli;str
unit.taxonVerbatim;reported_name;verbatimIdentification;Alkuperainen_nimi;str
document.documentId;document_id;catalogNumber;Havaintoeran_tunniste;str
document.notes;document_notes;documentRemarks;Havaintoeran_lisatiedot;str
document.secureReasons;restriction_reason;documentInformationWithheldReason;Karkeistuksen_syy;str
gathering.conversions.eurefWKT;footprint_euref;footprintWKT_EUREF;ETRS_TM35FIN_WKT;str
gathering.displayDateTime;formatted_date_time;eventDateTimeDisplay;Aika;str
gathering.locality;locality;locality;Sijainti;str
gathering.municipality;municipality_verbatim;verbatimCounty;Kunta;str
gathering.province;region_verbatim;verbatimStateProvince;Maakunta;str
gathering.notes;event_notes;eventRemarks;Keruutapahtuman_lisatiedot;str
gathering.team;team;recordedBy;Havainnoijat;str
unit.keywords;record_keywords;occurrenceKeywords;Avainsanat;str
unit.linkings.taxon.nameEnglish;common_name_english;vernacularNameEnglish;Englanninkielinen_nimi;str
unit.linkings.taxon.nameFinnish;common_name_finnish;vernacularNameFinnish;Suomenkielinen_nimi;str
unit.linkings.taxon.nameSwedish;common_name_swedish;vernacularNameSwedish;Ruotsinkielinen_nimi;str
unit.linkings.taxon.taxonomicOrder;taxonomic_order;taxonTaxonomicOrder;Taksonominen_jarjestys;int
document.linkings.collectionQuality;collection_quality;collectionQuality;Aineiston_laatu;str
unit.linkings.originalTaxon.latestRedListStatusFinland.status;orig_last_red_list_status_id;originalLastRedListStatusID;Uhanalaisuusluokka;str
unit.linkings.originalTaxon.administrativeStatuses;orig_taxon_regulatory_status_id;originalTaxonRegulatoryStatusID;Hallinnollinen_asema;str
unit.linkings.taxon.sensitive;sensitive;sensitive;Sensitiivinen_laji;bool
gathering.conversions.eurefCenterPoint.lat;lat_euref;decimalLatitudeEUREF;ETRS_TM35FIN_N;double
gathering.conversions.eurefCenterPoint.lon;lon_euref;decimalLongitudeEUREF;ETRS_TM35FIN_E;double
unit.abundanceUnit;abundance_unit;abundanceUnit;Maaran_yksikko;str
unit.linkings.originalTaxon.primaryHabitat.habitat;orig_primary_habitat_id;originalPrimaryHabitatID;Ensisijainen_biotooppi;str
unit.atlasClass;atlas_class_id;atlasClassID;Atlasluokka;str
unit.atlasCode;atlas_code_id;atlasCodeID;Atlaskoodi;str
document.dataSource;data_source;dataSource;Aineistolahde;str
document.siteStatus;site_status;siteStatus;Seurantapaikan_tila;str
document.siteType;site_type;siteType;Seurantapaikan_tyyppi;str
gathering.stateLand;state_land;stateLand;Valtion_maalla;bool
unit.linkings.taxon.threatenedStatus;threatened_status_id;threatenedStatusID;Lajiturva;str
name;informal_group_name;InformalGroupName;Elioryhma;str
unit.linkings.originalTaxon.vernacularName.fi;;;Yleiskielinen_nimi;str
unit.linkings.originalTaxon.latestRedListStatusFinland.year;;;Uhanalaisuusluokan_vuosi;int
geometry;geometry;geometry;geometry;geom
compute_from_individual_count;;;Esiintyman_tila;str
compute_from_collection_id;;;Aineisto;str
Seurattava laji;;;Seurattava_laji;str
Sijainnin tarkkuusluokka;;;Sijainnin_tarkkuusluokka;str
Havainnon laatu;;;Havainnon_laatu;str
Peittävyysprosentti;;;Peittavyysprosentti;str
Havainnon määrän yksikkö;;;Havainnon_maaran_yksikko;str
Vesistöalue;;;Vesistoalue;str
Merialueen tunniste;;;Merialueen_tunniste;str
Vastuualue;;;Vastuualue;str
